page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path	Chr	Start	End
74	1	Upper_Left	74139255-a635-4c87-814d-3dd04ed630a8	4:1163865−190815012	12, 20	90	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_74_part_1.png	4	1163865	190815012
74	2	Upper_Right	74139255-a635-4c87-814d-3dd04ed630a8	15:34114739−74116044	8, 11	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_74_part_2.png	15	34114739	74116044
74	3	Lower_Left	8da3103e-3e6c-4176-a583-d5fe5e60601e	14:98609565−99894680	10, 10	10	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_74_part_3.png	14	98609565	99894680
74	4	Lower_Right	93ed7a2b-b0cb-4a84-871f-5c34a0b6a640	11:6033888−105143674	15, 39	39	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_74_part_4.png	11	6033888	105143674
75	1	Upper_Left	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	15:71116986−102044792	7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_75_part_1.png	15	71116986	102044792
75	2	Upper_Right	b37d944c-c65c-46d6-bb8b-3eb37cb85b68	X:70334273−87509185	9, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_75_part_2.png	X	70334273	87509185
75	3	Lower_Left	bf339349-062f-4ea9-a0b2-d87d3a21099e	6:155280936−168158297	42, 43	89	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_75_part_3.png	6	155280936	168158297
75	4	Lower_Right	de7b7cac-f094-4d59-8651-e991e34ea093	7:43019383−45110155	7, 7	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_75_part_4.png	7	43019383	45110155
76	1	Upper_Left	de7b7cac-f094-4d59-8651-e991e34ea093	16:85956549−89924266	8, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_76_part_1.png	16	85956549	89924266
76	2	Upper_Right	e17a6048-7a72-42c0-ad3f-97cbff02bc9f	12:51821337−88808438	7, 19	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_76_part_2.png	12	51821337	88808438
76	3	Lower_Left	f45f4a30-6b4c-4f15-9140-959d6a25a45f	9:19934041−27288375	23, 25	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_76_part_3.png	9	19934041	27288375
76	4	Lower_Right	ICGC_MB110	16:275259−87888760	9, 16	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_76_part_4.png	16	275259	87888760
77	1	Upper_Left	ICGC_MB131	3:38417904−38895251	13, 13	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_77_part_1.png	3	38417904	38895251
77	2	Upper_Right	ICGC_MB145	17:17334828−78175336	7, 11	16	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_77_part_2.png	17	17334828	78175336
77	3	Lower_Left	ICGC_MB160	8:41002272−123551081	9, 9	17	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_77_part_3.png	8	41002272	123551081
77	4	Lower_Right	ICGC_MB165	2:111074−18111365	13, 22	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_77_part_4.png	2	111074	18111365
78	1	Upper_Left	ICGC_MB165	5:14327−179565981	11, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_78_part_1.png	5	14327	179565981
78	2	Upper_Right	ICGC_MB224	17:27090584−78497663	7, 14	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_78_part_2.png	17	27090584	78497663
78	3	Lower_Left	ICGC_MB23	10:388457−53879148	8, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_78_part_3.png	10	388457	53879148
78	4	Lower_Right	ICGC_MB34	5:292496−69696821	7, 9	55	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_78_part_4.png	5	292496	69696821
79	1	Upper_Left	ICGC_MB34	14:29090292−47295794	15, 15	35	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_79_part_1.png	14	29090292	47295794
79	2	Upper_Right	ICGC_MB34	X:15128807−127701065	7, 10	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_79_part_2.png	X	15128807	127701065
79	3	Lower_Left	ICGC_MB81	3:83993082−118079412	10, 21	48	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_79_part_3.png	3	83993082	118079412
79	4	Lower_Right	ICGC_MB83	20:305936−62568476	23, 23	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_79_part_4.png	20	305936	62568476
80	1	Upper_Left	ICGC_MB94	12:12616089−127105460	9, 21	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_80_part_1.png	12	12616089	127105460
80	2	Upper_Right	70939245-41e0-4845-a473-5fef719b9828	11:67579787−119004447	11, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_80_part_2.png	11	67579787	119004447
80	3	Lower_Left	a5f851c5-6130-4ea1-9f86-be59331a92f7	12:40577459−111918430	11, 14	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_80_part_3.png	12	40577459	111918430
80	4	Lower_Right	300fff5a-0f61-402d-b845-3938ba7b1294	4:94012474−136381345	8, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_80_part_4.png	4	94012474	136381345
81	1	Upper_Left	5116e3b4-2bac-40f5-8046-b9c1783faaa5	8:75252026−130197825	7, 8	78	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_81_part_1.png	8	75252026	130197825
81	2	Upper_Right	5116e3b4-2bac-40f5-8046-b9c1783faaa5	10:3416561−47660152	18, 20	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_81_part_2.png	10	3416561	47660152
81	3	Lower_Left	74a0264d-1d31-430d-9a88-e7334c8aa96c	11:36286027−55106614	9, 10	38	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_81_part_3.png	11	36286027	55106614
81	4	Lower_Right	7d8eab0a-e6c8-4449-9ebf-50c41db94a06	11:24587264−77217999	7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_81_part_4.png	11	24587264	77217999
82	1	Upper_Left	84e34cf2-b3bb-4a1a-8fb7-6c2c604c4008	2:225114384−242999441	23, 25	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_82_part_1.png	2	225114384	242999441
82	2	Upper_Right	84e34cf2-b3bb-4a1a-8fb7-6c2c604c4008	4:110377459−189112406	31, 31	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_82_part_2.png	4	110377459	189112406
82	3	Lower_Left	857a5889-19e7-4208-8362-f1377c408037	10:170347−37518119	7, 20	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_82_part_3.png	10	170347	37518119
82	4	Lower_Right	a512701f-88bb-4b05-8c94-fd285b9dd13e	10:4459777−93753340	14, 15	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_82_part_4.png	10	4459777	93753340
83	1	Upper_Left	d3b7ada6-5395-4212-a921-8e97c92b605d	17:29755964−52225944	10, 10	10	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_83_part_1.png	17	29755964	52225944
83	2	Upper_Right	d3b7ada6-5395-4212-a921-8e97c92b605d	18:5986794−35455161	7, 7	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_83_part_2.png	18	5986794	35455161
83	3	Lower_Left	dca004bf-9c14-45a1-b186-ab3759f6c7fe	6:221993−169360831	23, 36	87	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_83_part_3.png	6	221993	169360831
83	4	Lower_Right	e8ec26bd-c88d-42b9-ac8a-ab121b8140f8	20:7138898−57297995	13, 19	80	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_83_part_4.png	20	7138898	57297995
84	1	Upper_Left	f87c6dcc-1a9e-4df5-962c-1f946e2611f8	10:4835843−86898602	9, 19	32	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_84_part_1.png	10	4835843	86898602
84	2	Upper_Right	1388bba1-02ba-40df-93e5-c3d58b7bbae0	1:32651575−117559110	53, 53	53	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_84_part_2.png	1	32651575	117559110
84	3	Lower_Left	1388bba1-02ba-40df-93e5-c3d58b7bbae0	12:361015−132561817	17, 49	129	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_84_part_3.png	12	361015	132561817
84	4	Lower_Right	1388bba1-02ba-40df-93e5-c3d58b7bbae0	21:21231971−30536463	10, 10	24	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_84_part_4.png	21	21231971	30536463
85	1	Upper_Left	OCCAMS-AH-014	9:15450269−78965593	8, 9	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_85_part_1.png	9	15450269	78965593
85	2	Upper_Right	OCCAMS-AH-046	17:3658212−53172475	8, 13	16	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_85_part_2.png	17	3658212	53172475
85	3	Lower_Left	OCCAMS-AH-048	7:2901227−145317445	12, 12	89	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_85_part_3.png	7	2901227	145317445
85	4	Lower_Right	OCCAMS-AH-063	8:30876019−41958223	8, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_85_part_4.png	8	30876019	41958223
86	1	Upper_Left	OCCAMS-AH-064	2:968502−127296039	7, 25	39	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_86_part_1.png	2	968502	127296039
86	2	Upper_Right	OCCAMS-AH-064	3:1926043−196423191	7, 9	75	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_86_part_2.png	3	1926043	196423191
86	3	Lower_Left	OCCAMS-AH-064	13:27991549−115019710	10, 34	88	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_86_part_3.png	13	27991549	115019710
86	4	Lower_Right	OCCAMS-AH-064	X:10521537−154343000	10, 15	91	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_86_part_4.png	X	10521537	154343000
87	1	Upper_Left	OCCAMS-AH-082	6:52224981−156272848	11, 14	62	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_87_part_1.png	6	52224981	156272848
87	2	Upper_Right	OCCAMS-AH-085	9:33132354−139158900	9, 19	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_87_part_2.png	9	33132354	139158900
87	3	Lower_Left	OCCAMS-AH-086	10:43601978−134914515	25, 30	113	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_87_part_3.png	10	43601978	134914515
87	4	Lower_Right	OCCAMS-AH-086	19:1174502−58337393	7, 12	103	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_87_part_4.png	19	1174502	58337393
88	1	Upper_Left	OCCAMS-AH-088	7:53921918−151275079	15, 33	69	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_88_part_1.png	7	53921918	151275079
88	2	Upper_Right	OCCAMS-AH-096	22:16884779−49630408	8, 21	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_88_part_2.png	22	16884779	49630408
88	3	Lower_Left	OCCAMS-AH-108	17:614159−62917745	7, 7	102	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_88_part_3.png	17	614159	62917745
88	4	Lower_Right	OCCAMS-AH-112	1:1979872−212827045	21, 33	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_88_part_4.png	1	1979872	212827045
89	1	Upper_Left	OCCAMS-AH-112	2:23859234−191789699	11, 14	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_89_part_1.png	2	23859234	191789699
89	2	Upper_Right	OCCAMS-AH-112	4:5188482−185655429	10, 21	54	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_89_part_2.png	4	5188482	185655429
89	3	Lower_Left	OCCAMS-AH-112	5:110689915−118671116	8, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_89_part_3.png	5	110689915	118671116
89	4	Lower_Right	OCCAMS-AH-112	9:2688258−130163538	11, 19	35	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_89_part_4.png	9	2688258	130163538
90	1	Upper_Left	OCCAMS-AH-136	16:47562340−57689371	16, 16	16	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_90_part_1.png	16	47562340	57689371
90	2	Upper_Right	OCCAMS-AH-173	1:24204431−234619940	10, 37	66	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_90_part_2.png	1	24204431	234619940
90	3	Lower_Left	OCCAMS-AH-173	8:14950710−146210675	9, 9	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_90_part_3.png	8	14950710	146210675
90	4	Lower_Right	OCCAMS-AH-196	18:13655503−77718608	8, 9	92	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_90_part_4.png	18	13655503	77718608
91	1	Upper_Left	OCCAMS-AH-197	11:60717275−95643409	9, 24	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_91_part_1.png	11	60717275	95643409
91	2	Upper_Right	OCCAMS-ED-003	3:77926901−140720659	9, 15	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_91_part_2.png	3	77926901	140720659
91	3	Lower_Left	OCCAMS-ED-041	2:144209346−167223868	18, 18	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_91_part_3.png	2	144209346	167223868
91	4	Lower_Right	OCCAMS-GS-002	6:25217251−125203324	9, 23	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_91_part_4.png	6	25217251	125203324
92	1	Upper_Left	OCCAMS-PS-014	3:10840533−149005314	7, 13	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_92_part_1.png	3	10840533	149005314
92	2	Upper_Right	OCCAMS-PS-014	9:3720535−31869665	7, 15	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_92_part_2.png	9	3720535	31869665
92	3	Lower_Left	OCCAMS-RS-006	2:11537277−117535028	15, 15	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_92_part_3.png	2	11537277	117535028
92	4	Lower_Right	OCCAMS-RS-007	4:124056−24705189	10, 17	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_92_part_4.png	4	124056	24705189
93	1	Upper_Left	OCCAMS-RS-008	18:28233723−70007646	8, 11	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_93_part_1.png	18	28233723	70007646
93	2	Upper_Right	OCCAMS-RS-008	20:10454766−62655650	7, 19	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_93_part_2.png	20	10454766	62655650
93	3	Lower_Left	OCCAMS-RS-024	4:15222955−60346330	8, 15	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_93_part_3.png	4	15222955	60346330
93	4	Lower_Right	OCCAMS-RS-024	5:61100033−179629173	8, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_93_part_4.png	5	61100033	179629173
94	1	Upper_Left	OCCAMS-RS-031	3:102654747−189241556	13, 13	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_94_part_1.png	3	102654747	189241556
94	2	Upper_Right	OCCAMS-RS-032	9:15830088−125695294	10, 24	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_94_part_2.png	9	15830088	125695294
94	3	Lower_Left	OCCAMS-RS-036	5:52934089−180192620	7, 11	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_94_part_3.png	5	52934089	180192620
94	4	Lower_Right	OCCAMS-RS-036	13:19096905−108942210	8, 11	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_94_part_4.png	13	19096905	108942210
95	1	Upper_Left	OCCAMS-SH-003	9:7402627−123306880	31, 31	56	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_95_part_1.png	9	7402627	123306880
95	2	Upper_Right	OCCAMS-SH-051	8:15493178−116198864	12, 13	50	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_95_part_2.png	8	15493178	116198864
95	3	Lower_Left	OCCAMS-SH-051	9:83628603−122095709	9, 13	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_95_part_3.png	9	83628603	122095709
95	4	Lower_Right	OCCAMS-SH-051	10:1449967−129457144	16, 63	63	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_95_part_4.png	10	1449967	129457144
96	1	Upper_Left	OCCAMS-SH-051	17:35498058−80272573	8, 13	34	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_96_part_1.png	17	35498058	80272573
96	2	Upper_Right	OCCAMS-SH-071	19:910192−23977386	11, 13	71	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_96_part_2.png	19	910192	23977386
96	3	Lower_Left	OCCAMS-ST-020	2:2097136−240675922	50, 78	78	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_96_part_3.png	2	2097136	240675922
96	4	Lower_Right	OCCAMS-ST-029	6:80712446−105721586	13, 20	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_96_part_4.png	6	80712446	105721586
97	1	Upper_Left	OCCAMS-ST-029	9:18394399−139562954	11, 11	73	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_97_part_1.png	9	18394399	139562954
97	2	Upper_Right	OCCAMS-WG-002	5:146494000−172062115	11, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_97_part_2.png	5	146494000	172062115
97	3	Lower_Left	OCCAMS-WG-019	8:11621919−129269031	7, 13	56	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_97_part_3.png	8	11621919	129269031
97	4	Lower_Right	OCCAMS-ZZ-004	3:79151724−171586622	10, 12	38	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_97_part_4.png	3	79151724	171586622
98	1	Upper_Left	OCCAMS-ZZ-004	13:22419265−109068331	8, 15	56	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_98_part_1.png	13	22419265	109068331
98	2	Upper_Right	OCCAMS-ZZ-016	3:35278145−141335185	7, 14	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_98_part_2.png	3	35278145	141335185
98	3	Lower_Left	OCCAMS-ZZ-019	5:54890695−171491811	18, 25	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_98_part_3.png	5	54890695	171491811
98	4	Lower_Right	3e5f451a-5882-4914-ae1a-95c898c2bcca	17:37011270−62375856	21, 21	21	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_98_part_4.png	17	37011270	62375856
99	1	Upper_Left	ad6c9d09-2c03-4786-a72d-dd2aa5f603d4	18:1261751−15359143	8, 32	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_99_part_1.png	18	1261751	15359143
99	2	Upper_Right	cb99fb14-641c-4fb3-bf1d-17efb8cd982a	5:301373−56638638	13, 13	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_99_part_2.png	5	301373	56638638
99	3	Lower_Left	e303b8c4-6428-4134-bb9d-a95dc1d8e35e	1:1362882−85717387	15, 15	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_99_part_3.png	1	1362882	85717387
99	4	Lower_Right	2f1c4db6-88a7-4a5d-a5fe-94d85f569440	5:928958−174411985	82, 129	129	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_99_part_4.png	5	928958	174411985
100	1	Upper_Left	2f1c4db6-88a7-4a5d-a5fe-94d85f569440	13:20416020−113987910	51, 138	138	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_100_part_1.png	13	20416020	113987910
100	2	Upper_Right	70e306ee-9584-49d6-81a1-a49d837ab6aa	3:27225774−76470709	9, 22	64	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_100_part_2.png	3	27225774	76470709
100	3	Lower_Left	70e306ee-9584-49d6-81a1-a49d837ab6aa	15:40179423−68153782	10, 10	94	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_100_part_3.png	15	40179423	68153782
100	4	Lower_Right	f2b58595-dec0-4194-ab33-7c7dc6c058a6	5:40655−32685928	7, 15	65	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_100_part_4.png	5	40655	32685928
101	1	Upper_Left	659294b9-ded9-498a-bc00-c1d4d456aa4a	7:41484984−158377609	7, 21	110	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_101_part_1.png	7	41484984	158377609
101	2	Upper_Right	bbbce1ba-c739-43ba-b9cf-a4f746491ae3	5:86939720−123103947	8, 14	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_101_part_2.png	5	86939720	123103947
101	3	Lower_Left	db058eb4-9c5e-4226-92d1-de24aea83630	2:148510874−160670122	8, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_101_part_3.png	2	148510874	160670122
101	4	Lower_Right	4edd92e1-5da5-49a3-80e4-fa456aa425b8	7:85764754−138776191	14, 16	93	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_101_part_4.png	7	85764754	138776191
102	1	Upper_Left	C0005	5:120889469−128593853	7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_102_part_1.png	5	120889469	128593853
102	2	Upper_Right	C0012	10:4199382−60236974	19, 31	34	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_102_part_2.png	10	4199382	60236974
102	3	Lower_Left	C0014	3:78323577−84515937	8, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_102_part_3.png	3	78323577	84515937
